ZIP,Median_income
10001,85168
10002,35594
10003,100791
10004,123056
10005,130116
10006,125364
10007,234958
10009,60788
10010,110142
10011,114134
10012,101815
10013,104167
10014,119026
10016,102703
10017,106795
10018,105479
10019,94477
10020,
10021,115681
10022,123693
10023,115080
10024,118594
10025,80025
10026,52082
10027,42754
10028,111302
10029,32500
10030,33720
10031,41848
10032,40054
10033,46349
10034,45643
10035,26893
10036,83812
10037,39463
10038,82910
10039,32257
10040,45811
10044,86483
10065,118310
10069,155702
10075,114481
10103,
10110,
10111,
10112,
10115,
10119,
10128,103817
10152,
10153,
10154,
10162,178822
10165,
10167,
10168,
10169,
10170,
10171,
10172,
10173,
10174,
10177,
10199,
10271,
10278,
10279,
10280,146875
10282,"250,000+"
10301,55700
10302,55864
10303,55198
10304,53843
10305,74063
10306,78745
10307,77278
10308,87493
10309,93248
10310,69201
10311,
10312,88567
10314,77761
10451,26419
10452,25771
10453,22914
10454,21553
10455,23962
10456,25868
10457,25967
10458,30339
10459,24805
10460,24086
10461,55332
10462,48315
10463,56568
10464,76917
10465,73068
10466,44354
10467,34964
10468,34988
10469,57124
10470,58839
10471,81594
10472,29934
10473,36686
10474,26901
10475,46340
10501,130313
10502,161734
10503,
10504,213688
10505,118333
10506,194917
10507,66106
10509,94768
10510,153152
10511,99479
10512,90585
10514,244527
10516,93750
10517,100313
10518,190058
10519,
10520,94261
10522,120631
10523,90406
10524,115833
10526,123571
10527,144286
10528,110417
10530,101553
10532,97125
10533,135697
10535,65147
10536,161650
10537,73235
10538,153750
10541,109076
10543,82265
10545,
10546,144167
10547,96833
10548,78724
10549,95704
10550,42002
10552,68196
10553,60403
10560,129306
10562,73797
10566,55453
10567,118482
10570,124427
10573,69523
10576,180000
10577,193125
10578,106176
10579,120162
10580,168750
10583,177332
10588,73233
10589,94652
10590,141646
10591,79988
10594,133256
10595,106331
10596,70714
10597,222917
10598,116741
10601,70701
10603,94088
10604,84741
10605,108065
10606,75775
10607,127232
10701,45049
10703,60964
10704,73956
10705,46013
10706,119841
10707,81818
10708,105738
10709,100000
10710,86132
10801,57103
10803,150688
10804,166000
10805,62556
10901,93389
10910,
10911,
10913,123787
10914,126389
10915,
10916,107938
10917,97778
10918,98314
10919,98017
10920,101250
10921,85182
10922,99732
10923,79317
10924,93947
10925,77823
10926,68011
10927,58750
10928,79602
10930,129083
10931,63438
10932,
10933,98086
10940,56758
10941,65562
10950,66959
10952,55481
10953,127260
10954,93816
10956,121421
10958,87222
10960,80742
10962,94464
10963,71324
10964,96979
10965,98996
10968,97174
10969,67292
10970,84980
10973,93611
10974,89107
10975,
10976,60972
10977,56724
10979,70515
10980,94159
10983,110929
10984,112188
10985,
10986,119063
10987,103795
10988,74875
10989,105569
10990,87775
10992,94167
10993,53750
10994,136250
10996,107031
10998,86946
11001,102306
11003,91817
11004,91226
11005,63368
11010,98517
11020,123333
11021,89556
11023,104511
11024,96620
11030,164159
11040,111035
11042,
11050,112461
11096,45205
11101,51964
11102,56674
11103,62775
11104,57155
11105,62841
11106,56442
11109,133070
11201,109472
11203,46971
11204,47135
11205,47437
11206,31549
11207,35849
11208,37640
11209,65181
11210,59520
11211,59190
11212,28495
11213,37556
11214,52119
11215,108178
11216,52239
11217,94970
11218,60821
11219,36573
11220,40576
11221,43361
11222,73391
11223,44647
11224,31371
11225,48597
11226,45031
11228,63641
11229,55187
11230,43344
11231,84223
11232,47785
11233,35686
11234,75362
11235,45578
11236,60885
11237,46351
11238,75757
11239,24610
11351,
11354,43660
11355,38451
11356,57849
11357,74255
11358,66173
11359,
11360,82982
11361,81846
11362,82827
11363,90443
11364,70408
11365,62509
11366,78223
11367,57310
11368,45980
11369,51864
11370,53293
11371,
11372,52792
11373,45677
11374,55550
11375,72982
11377,51675
11378,61631
11379,75320
11385,60526
11411,81678
11412,71995
11413,80758
11414,70490
11415,64055
11416,59092
11417,66978
11418,63079
11419,62014
11420,61484
11421,64544
11422,85436
11423,66070
11424,
11425,
11426,77487
11427,65494
11428,68675
11429,77037
11430,
11432,52277
11433,45820
11434,57454
11435,55268
11436,66837
11451,
11501,89956
11507,110400
11509,141667
11510,95786
11514,83750
11516,100347
11518,91343
11520,68945
11530,144479
11542,74472
11545,139485
11547,116071
11548,120057
11549,
11550,57497
11552,100326
11553,67152
11554,93855
11556,
11557,114949
11558,87176
11559,114816
11560,110341
11561,88249
11563,81068
11565,106875
11566,133333
11568,170250
11569,114844
11570,106574
11572,103401
11575,75881
11576,157057
11577,120650
11579,113095
11580,98922
11581,95829
11590,92506
11596,116143
11598,130906
11691,41190
11692,42333
11693,53829
11694,79145
11697,100909
11701,76593
11702,104744
11703,92817
11704,81028
11705,95590
11706,79928
11709,100078
11710,115328
11713,71101
11714,99645
11715,113017
11716,80068
11717,69615
11718,119750
11719,89375
11720,94192
11721,108611
11722,67222
11724,189000
11725,120750
11726,67259
11727,77891
11729,84063
11730,115981
11731,106453
11732,115333
11733,143438
11735,96455
11738,95129
11739,140000
11740,107446
11741,98914
11742,89000
11743,117273
11746,101171
11747,123167
11749,86318
11751,94395
11752,93179
11753,149750
11754,98191
11755,100955
11756,105708
11757,80677
11758,109123
11762,121469
11763,81237
11764,114722
11765,171250
11766,113125
11767,117679
11768,119806
11769,87202
11770,
11771,119688
11772,68955
11776,94067
11777,104167
11778,91545
11779,86684
11780,112625
11782,105872
11783,112224
11784,88319
11786,126129
11787,115162
11788,105014
11789,77068
11790,123343
11791,157267
11792,121153
11793,117914
11794,
11795,112205
11796,92794
11797,156467
11798,71250
11801,99958
11803,132371
11804,105859
11901,55966
11930,94167
11931,
11932,74375
11933,64537
11934,97654
11935,88373
11937,90101
11939,74375
11940,97679
11941,103802
11942,92750
11944,57096
11946,76026
11947,
11948,102908
11949,105714
11950,72993
11951,64033
11952,89956
11953,72252
11954,77632
11955,61695
11956,61250
11957,73417
11958,66591
11959,87750
11960,68750
11961,61721
11962,
11963,86310
11964,79878
11965,117917
11967,82733
11968,81740
11970,
11971,90313
11972,106111
11973,
11975,68125
11976,133056
11977,95000
11978,82147
11980,91228
12007,
12008,106250
12009,91250
12010,45981
12015,53095
12017,73690
12018,82738
12019,94049
12020,73387
12022,50521
12023,62778
12024,
12025,64005
12027,98688
12028,74750
12029,85958
12031,44167
12032,46515
12033,71909
12035,37734
12036,53375
12037,58819
12040,41518
12041,57548
12042,
12043,49710
12045,46094
12046,81304
12047,52300
12051,58720
12052,64250
12053,81646
12054,97440
12056,93456
12057,53750
12058,67837
12059,73750
12060,67800
12061,85560
12062,69107
12063,99196
12064,62946
12065,84228
12066,60132
12067,63355
12068,52860
12069,
12070,65080
12071,53750
12072,49815
12074,67361
12075,61772
12076,60795
12077,94138
12078,39514
12083,70500
12084,69866
12085,45833
12086,56477
12087,71771
12089,64242
12090,57132
12092,34000
12093,49861
12094,75096
12095,48964
12106,71758
12108,57500
12110,71961
12115,83438
12116,45682
12117,53548
12118,67159
12120,49875
12121,72083
12122,40895
12123,76635
12124,62214
12125,52200
12130,120266
12131,66250
12132,63935
12134,51303
12136,88750
12137,54766
12138,60888
12139,57292
12140,89432
12143,48720
12144,63427
12147,69688
12148,104386
12149,50893
12150,64259
12151,74688
12153,85306
12154,65977
12155,49875
12156,78958
12157,54716
12158,81391
12159,90337
12160,54688
12161,
12164,65250
12165,
12166,39716
12167,48448
12168,63542
12169,52656
12170,65360
12172,37375
12173,70559
12174,
12175,52404
12176,74091
12177,71193
12180,50530
12182,40677
12183,52014
12184,78750
12185,75972
12186,89210
12187,41875
12188,62825
12189,52733
12190,45536
12192,61466
12193,76343
12194,41750
12195,30833
12196,90882
12197,41129
12198,85584
12202,25748
12203,52251
12204,55449
12205,63911
12206,29821
12207,12454
12208,57420
12209,52334
12210,47219
12211,95072
12222,
12302,70438
12303,62392
12304,47500
12305,29643
12306,61286
12307,17893
12308,44482
12309,93090
12401,48058
12404,57292
12405,46319
12406,
12407,52396
12409,72550
12410,62813
12411,81905
12412,61389
12413,32661
12414,41825
12416,22981
12417,51400
12418,71111
12419,56042
12420,108542
12421,55000
12422,68929
12423,43792
12424,61250
12427,88561
12428,46045
12429,88158
12430,48458
12431,39182
12432,59800
12433,135811
12434,31667
12435,
12436,51250
12438,125588
12439,39808
12440,52214
12441,83906
12442,28125
12443,84125
12444,39643
12446,55364
12448,
12449,42150
12450,
12451,77321
12452,41176
12453,34258
12454,58500
12455,41200
12456,45156
12457,
12458,43500
12459,40234
12460,33000
12461,64348
12463,57250
12464,48889
12465,56765
12466,68007
12468,48942
12469,47917
12470,61087
12471,53871
12472,54453
12473,72573
12474,45335
12475,
12477,58871
12480,55163
12481,65429
12482,39531
12483,
12484,63881
12485,54079
12486,87639
12487,73299
12489,75592
12490,
12491,71563
12492,46250
12493,86164
12494,66484
12495,96607
12496,55556
12498,72241
12501,65156
12502,73438
12503,62188
12504,86250
12507,68194
12508,68963
12512,
12513,62833
12514,96103
12515,54531
12516,62431
12517,54907
12518,78896
12520,89892
12521,80903
12522,51530
12523,70962
12524,77284
12525,72308
12526,70563
12527,
12528,67689
12529,67875
12530,
12531,82050
12533,102592
12534,45223
12538,74145
12540,103454
12542,69750
12543,54570
12545,75224
12546,58125
12547,76377
12548,52708
12549,83026
12550,55631
12553,71951
12561,67264
12563,84956
12564,82119
12565,38384
12566,76882
12567,63333
12569,75387
12570,97679
12571,69720
12572,73200
12574,120074
12575,126813
12577,109107
12578,87059
12580,78750
12581,73482
12582,99398
12583,71786
12585,113148
12586,68998
12589,77686
12590,81169
12592,63750
12594,61875
12601,40699
12603,78299
12604,
12701,33624
12719,58229
12720,80889
12721,61841
12722,
12723,52727
12724,64375
12725,50417
12726,68182
12729,53092
12732,39297
12733,41402
12734,64125
12736,31250
12737,67500
12738,59226
12740,65972
12741,30000
12742,
12743,52050
12745,67125
12746,87292
12747,63533
12748,62083
12749,48421
12750,76094
12751,50323
12752,39297
12754,37031
12758,51923
12759,26250
12760,51250
12762,38194
12763,62216
12764,45956
12765,78250
12766,54792
12767,111250
12768,60402
12769,73594
12770,61250
12771,49497
12775,98669
12776,53594
